"Name","Rank","Superkingdom","Kingdom","Phylum","Class","Order","Family","Genus","Species","LFQ intensity KES1","LFQ intensity KES2","LFQ intensity KES3","LFQ intensity PBS1","LFQ intensity PBS2","LFQ intensity PBS3","LFQ intensity W1","LFQ intensity W2","LFQ intensity W3"
"Coprococcus catus","Species","Bacteria","","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus","Coprococcus catus","8.853691E7","1.4713225E8","9.025956E7","9.135762E8","8.6617965E8","7.527198E8","7.095194E8","8.4457266E8","6.34446E8"
"Flavobacteriaceae","Family","Bacteria","","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","","","0.0","1410710.0","442190.0","7.80408E7","6.86115E7","7.36369E7","7.04447E7","5.85133E7","7.62956E7"
"Prevotella maculosa","Species","Bacteria","","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella maculosa","8.71661E7","3.29778E7","7.40341E7","4250800.0","3376400.0","2436000.0","1642800.0","6031500.0","1827900.0"
"Anaerotruncus","Genus","Bacteria","","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerotruncus","","0.0","3781300.0","3419800.0","2.9097E7","8945800.0","0.0","0.0","0.0","0.0"
"Prevotella sp. oral taxon 299","Species","Bacteria","","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella sp. oral taxon 299","1.206836E8","4.32481E7","1.134764E8","2.1692E7","2.117E7","0.0","2.2333E7","2.0754E7","2.2226E7"
"Parabacteroides merdae","Species","Bacteria","","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides merdae","8.579639E7","1.8731873E8","1.1674398E8","1.234875E8","1.651663E8","1.454869E8","1.927747E8","1.315072E8","1.171547E8"
"Dialister invisus","Species","Bacteria","","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Dialister","Dialister invisus","3.767702E7","5.33459E7","4.16076E7","2158300.0","1.132208E7","1.266801E7","1.31792E7","1.58201E7","1.249285E7"
"Bacteroides stercoris","Species","Bacteria","","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides stercoris","2.50907E7","3.553712E7","3.54976E7","9.119997E7","7.600582E7","7.94467E7","7.305145E7","8.40245E7","7.1593E7"
"Clostridiales","Order","Bacteria","","Firmicutes","Clostridia","Clostridiales","","","","1.7751603487E10","2.546370143E10","1.9709002958E10","1.1806850203E11","1.09896626792E11","1.05530763141E11","1.1258727221E11","1.046595614E11","1.1790296166E11"
"Lachnospiraceae","Family","Bacteria","","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","","","2.69493337E9","3.18332037E9","2.885596426E9","5.922364218E10","5.270366157E10","5.0289783701E10","5.499679269E10","4.859434917E10","6.241963996E10"
"Clostridia","Class","Bacteria","","Firmicutes","Clostridia","","","","","1.7781658287E10","2.550563093E10","1.9747700958E10","1.1818818963E11","1.10022662832E11","1.05648371641E11","1.1269582021E11","1.047756229E11","1.1803431036E11"
"Eubacteriaceae","Family","Bacteria","","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","","","2.9668889E8","5.3187962E8","2.864944E8","2.65216678E9","2.38881244E9","3.54741884E9","3.1865579E9","2.06831779E9","1.91066628E9"
"Peptostreptococcaceae","Family","Bacteria","","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","","","6676100.0","2.41674E7","7322200.0","2.18837E7","2.60808E7","4.62463E7","2.48993E7","4.24081E7","2.85626E7"
"Metazoa","Kingdom","Eukaryota","Metazoa","","","","","","","4.051E7","2.16655E7","2.522764E7","1.64627E7","1.55419E7","1.642234E7","1.390499E7","1.32659E7","1.178773E7"
"Hungatella hathewayi","Species","Bacteria","","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Hungatella","Hungatella hathewayi","1.35763E7","5291500.0","1.42135E7","2.866E7","1.81362E7","2.20452E7","1.798459E7","2.13053E7","2.14584E7"
"Xanthomonadales","Order","Bacteria","","Proteobacteria","Gammaproteobacteria","Xanthomonadales","","","","1.50105E7","1.59276E7","1.65701E7","5201210.0","8376700.0","7366900.0","3718100.0","9224400.0","1.04074E7"
"Marvinbryantia formatexigens","Species","Bacteria","","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Marvinbryantia","Marvinbryantia formatexigens","1.86506E7","2.4681E7","1.69981E7","4495500.0","8608400.0","2474700.0","3958300.0","8977700.0","1586500.0"
"Blautia wexlerae","Species","Bacteria","","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","Blautia wexlerae","6.15454E7","7.9038E7","7.00571E7","4.9467E7","3.807708E7","5.03522E7","4.45247E7","4.94794E7","4.29653E7"
"Lactobacillales","Order","Bacteria","","Firmicutes","Bacilli","Lactobacillales","","","","1.9580218E8","2.4370741E8","1.990602E8","8.36251E7","3.449055E8","2.507897E8","3.5582927E8","1.1601709E8","1.1648822E8"
"Clostridium","Genus","Bacteria","","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","","2.4194186E8","9.2262069E8","1.09160015E9","2.26781253E9","1.70604233E9","2.16365504E9","2.54691843E9","1.70471732E9","1.5506547E9"
"Bacteroides eggerthii","Species","Bacteria","","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides eggerthii","5.60661E7","2.676358E7","3.40257E7","5.71128E7","7.73796E7","6.55138E7","6.97318E7","9.33397E7","6.42062E7"
"Actinobacteria","Phylum","Bacteria","","Actinobacteria","","","","","","2.580081788E10","2.3093319808E10","2.434666931E10","5.33876586E9","5.204998644E9","5.68468363E9","5.96376286E9","5.61933853E9","4.31409023E9"
"Alistipes putredinis","Species","Bacteria","","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes putredinis","1.2143545E8","1.87395E8","1.4525661E8","1.926784E8","2.057148E8","1.584803E8","1.8696903E8","1.8476471E8","1.9300582E8"
"Coprococcus comes","Species","Bacteria","","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus","Coprococcus comes","1.763234E7","9544780.0","9026630.0","5.952095E7","4.4356E7","2.210958E8","1.369445E8","5.36102E7","3.94026E7"
"Prevotella buccae","Species","Bacteria","","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella buccae","9.40049E7","5.42656E7","8.20158E7","3.57101E7","3.05827E7","3.33414E7","3.30515E7","2.00275E7","6844700.0"
"Prevotella corporis","Species","Bacteria","","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella corporis","1.21606E8","1.893E7","1.10587E8","1122200.0","0.0","0.0","3.2569E7","0.0","0.0"
"Prevotella oralis","Species","Bacteria","","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella oralis","1.48101E7","1.56309E7","1.42017E7","1.146169E7","1.68338E7","1.03274E7","7272800.0","9367700.0","1.14022E7"
"Cytophagales","Order","Bacteria","","Bacteroidetes","Cytophagia","Cytophagales","","","","2.26067E7","3.68611E7","3.18374E7","1.29002E7","1.97078E7","1.69969E7","1.68044E7","1.96232E7","1.3813E7"
"Cytophagia","Class","Bacteria","","Bacteroidetes","Cytophagia","","","","","2.26067E7","3.68611E7","3.18374E7","1.29002E7","1.97078E7","1.69969E7","1.68044E7","1.96232E7","1.3813E7"
"Parabacteroides","Genus","Bacteria","","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","","2.8111801E8","3.9378157E8","3.1966E8","3.0708111E8","3.4197359E8","3.2142032E8","3.6426275E8","3.1630007E8","2.6427073E8"
"Oscillospiraceae","Family","Bacteria","","Firmicutes","Clostridia","Clostridiales","Oscillospiraceae","","","1.79522E7","1.404236E7","1.36213E7","1.656724E8","1.576118E8","1.454232E8","1.956677E8","1.719933E8","2.058897E8"
"Tannerellaceae","Family","Bacteria","","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","","","2.8752441E8","4.0111817E8","3.263364E8","3.1689361E8","3.5338599E8","3.3758592E8","3.7878765E8","3.2628277E8","2.7996033E8"
"Olsenella scatoligenes","Species","Bacteria","","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella","Olsenella scatoligenes","6.0687836E8","8.606702E8","6.6810728E8","3.622567E7","2.874468E7","2.248781E7","1.727805E7","2.036733E7","2.795282E7"
"Porphyromonas gingivicanis","Species","Bacteria","","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas gingivicanis","2.088231E7","2.03983E7","2.2255E7","2.18177E7","2.64391E7","2.043E7","1.6281E7","2.1733E7","2.1543E7"
"Coprobacillus","Genus","Bacteria","","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Coprobacillus","","8193600.0","9936600.0","8454200.0","0.0","0.0","1.1644E7","0.0","0.0","4419600.0"
